,symbol,date,iexId,isEnabled,name,type
265,ALD,2018-06-07,232,True,WisdomTree Asia Local Debt Fund,et
266,ALDR,2018-06-07,8477,True,Alder BioPharmaceuticals Inc.,cs
267,ALDX,2018-06-07,8338,True,Aldeyra Therapeutics Inc.,cs
268,ALE,2018-06-07,234,True,Allete Inc.,cs
269,ALEX,2018-06-07,13761,True,Alexander & Baldwin Inc. REIT Holding Company,cs
270,ALFA,2018-06-07,236,True,AlphaClone Alternative Alpha,et
271,ALFI,2018-06-07,10821,True,AlphaClone International,N/A
272,ALG,2018-06-07,237,True,Alamo Group Inc.,cs
273,ALGN,2018-06-07,238,True,Align Technology Inc.,cs
274,ALGT,2018-06-07,239,True,Allegiant Travel Company,cs
275,ALIM,2018-06-07,240,True,Alimera Sciences Inc.,cs
276,ALJJ,2018-06-07,11361,True,ALJ Regional Holdings Inc.,cs
277,ALK,2018-06-07,242,True,Alaska Air Group Inc.,cs
278,ALKS,2018-06-07,243,True,Alkermes plc,cs
279,ALL,2018-06-07,244,True,Allstate Corporation (The),cs
280,ALL-A,2018-06-07,245,True,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,ps
281,ALL-B,2018-06-07,246,True,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,N/A
282,ALL-C,2018-06-07,7892,True,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,ps
283,ALL-D,2018-06-07,8185,True,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,ps
284,ALL-E,2018-06-07,8323,True,Allstate Corporation Depositary Shares Series E,ps
285,ALL-F,2018-06-07,8857,True,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,ps
286,ALL-G,2018-06-07,14338,True,Allstate Corporation (The) Depositary Shares Series G,ps
287,ALLE,2018-06-07,8103,True,Allegion plc,cs
288,ALLT,2018-06-07,248,True,Allot Communications Ltd.,cs
289,ALLY,2018-06-07,249,True,Ally Financial Inc.,cs
290,ALLY-A,2018-06-07,250,True,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,ps
291,ALN,2018-06-07,252,True,American Lorain Corporation,cs
292,ALNA,2018-06-07,13516,True,Allena Pharmaceuticals Inc.,cs
293,ALNY,2018-06-07,253,True,Alnylam Pharmaceuticals Inc.,cs
294,ALO,2018-06-07,6763,True,Alio Gold Inc. (Canada),cs
295,ALOG,2018-06-07,254,True,Analogic Corporation,cs
296,ALOT,2018-06-07,255,True,AstroNova Inc.,cs
297,ALP-Q,2018-06-07,13373,True,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),ps
298,ALPN,2018-06-07,9991,True,Alpine Immune Sciences Inc.,cs
299,ALQA,2018-06-07,8244,True,Alliqua BioMedical Inc.,cs
300,ALRM,2018-06-07,10122,True,Alarm.com Holdings Inc.,cs
301,ALRN,2018-06-07,13041,True,Aileron Therapeutics Inc.,cs
302,ALSK,2018-06-07,261,True,Alaska Communications Systems Group Inc.,cs
303,ALSN,2018-06-07,262,True,Allison Transmission Holdings Inc.,cs
304,ALT,2018-06-07,5433,True,Altimmune Inc.,cs
305,ALTR,2018-06-07,13622,True,Altair Engineering Inc.,cs
306,ALTS,2018-06-07,9353,True,ProShares Morningstar Alternatives Solution,N/A
307,ALTY,2018-06-07,10294,True,Global X SuperDividend Alternatives ETF,N/A
308,ALV,2018-06-07,268,True,Autoliv Inc.,cs
309,ALX,2018-06-07,270,True,Alexander's Inc.,cs
310,ALXN,2018-06-07,272,True,Alexion Pharmaceuticals Inc.,cs
311,AM,2018-06-07,8273,True,Antero Midstream Partners LP representing limited partner interests,cs
312,AMAG,2018-06-07,274,True,AMAG Pharmaceuticals Inc.,cs
313,AMAT,2018-06-07,276,True,Applied Materials Inc.,cs
314,AMBA,2018-06-07,277,True,Ambarella Inc.,cs
315,AMBC,2018-06-07,278,True,Ambac Financial Group Inc.,cs
316,AMBCW,2018-06-07,7913,True,Ambac Financial Group Inc. Warrants,N/A
317,AMBO,2018-06-07,280,True,AMBOW EDUCATION HOLDING-ADR,N/A
318,AMBR,2018-06-07,8303,True,Amber Road Inc.,cs
319,AMC,2018-06-07,7817,True,AMC Entertainment Holdings Inc. Class A,cs
320,AMCA,2018-06-07,13234,True,iShares Russell 1000 Pure U.S. Revenue ETF,N/A
321,AMCN,2018-06-07,284,True,AirMedia Group Inc,cs
322,AMCX,2018-06-07,286,True,AMC Networks Inc.,cs
323,AMD,2018-06-07,287,True,Advanced Micro Devices Inc.,cs
324,AMDA,2018-06-07,8262,True,Amedica Corporation,cs
325,AME,2018-06-07,288,True,AMETEK Inc.,cs
326,AMED,2018-06-07,289,True,Amedisys Inc,cs
